Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

01:10:05 AM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:17 AM   978         -    119831    1.00    0.00    0.00    0.00    1.00     1  |__handler15
01:10:17 AM   978         -    119832    0.00    0.00    0.00    0.00    0.00    14  |__handler16
01:10:17 AM   978         -    119833    0.00    0.00    0.00    0.00    0.00     1  |__handler17
01:10:17 AM   978         -    119834    2.00    2.00    0.00    0.00    4.00     5  |__revalidator18
01:10:17 AM   978         -    119835    1.00    1.00    0.00    0.00    2.00     9  |__revalidator19
01:10:17 AM   978         -    119836    2.00    1.00    0.00    1.00    3.00     3  |__revalidator20
01:10:17 AM   978         -    119837    1.00    2.00    0.00    0.00    3.00     6  |__revalidator21
01:10:17 AM   978         -    119838    3.00    1.00    0.00    0.00    4.00    13  |__revalidator22
01:10:17 AM   978         -    119839    1.00    2.00    0.00    0.00    3.00    10  |__revalidator23
01:10:17 AM   978         -    119840    2.00    2.00    0.00    0.00    4.00     7  |__revalidator24
01:10:17 AM   978         -    119841    2.00    1.00    0.00    0.00    3.00     4  |__revalidator25
01:10:17 AM   978         -    119842    2.00    1.00    0.00    0.00    3.00    11  |__revalidator26
01:10:17 AM   978         -    119843    1.00    2.00    0.00    0.00    3.00     9  |__revalidator27
01:10:18 AM   978    119815         -   21.00   15.00    0.00    0.00   36.00     2  ovs-vswitchd
01:10:18 AM   978         -    119815    0.00    0.00    0.00    0.00    0.00     2  |__ovs-vswitchd
01:10:18 AM   978         -    119817    0.00    0.00    0.00    0.00    0.00     1  |__handler1
01:10:18 AM   978         -    119818    1.00    0.00    0.00    0.00    1.00     1  |__handler2
01:10:18 AM   978         -    119819    1.00    1.00    0.00    0.00    2.00     0  |__handler3
01:10:18 AM   978         -    119820    0.00    0.00    0.00    0.00    0.00     9  |__urcu4
01:10:18 AM   978         -    119821    0.00    0.00    0.00    0.00    0.00     4  |__handler5
01:10:18 AM   978         -    119822    0.00    0.00    0.00    0.00    0.00     0  |__handler6
01:10:18 AM   978         -    119823    0.00    0.00    0.00    0.00    0.00     5  |__handler7
01:10:18 AM   978         -    119824    0.00    0.00    0.00    0.00    0.00     7  |__handler8
01:10:18 AM   978         -    119825    0.00    0.00    0.00    0.00    0.00     2  |__handler9
01:10:18 AM   978         -    119826    0.00    0.00    0.00    0.00    0.00    11  |__handler10
01:10:18 AM   978         -    119827    1.00    0.00    0.00    0.00    1.00    11  |__handler11
01:10:18 AM   978         -    119828    0.00    0.00    0.00    0.00    0.00    11  |__handler12
01:10:18 AM   978         -    119829    0.00    0.00    0.00    0.00    0.00     7  |__handler13
01:10:18 AM   978         -    119830    0.00    0.00    0.00    0.00    0.00    13  |__handler14
01:10:18 AM   978         -    119831    0.00    0.00    0.00    0.00    0.00     1  |__handler15
01:10:18 AM   978         -    119832    0.00    0.00    0.00    0.00    0.00    14  |__handler16
01:10:18 AM   978         -    119833    1.00    0.00    0.00    0.00    1.00     2  |__handler17
01:10:18 AM   978         -    119834    2.00    1.00    0.00    0.00    3.00     5  |__revalidator18
01:10:18 AM   978         -    119835    2.00    1.00    0.00    0.00    3.00     9  |__revalidator19
01:10:18 AM   978         -    119836    2.00    2.00    0.00    0.00    4.00     3  |__revalidator20
01:10:18 AM   978         -    119837    2.00    1.00    0.00    0.00    3.00     8  |__revalidator21
01:10:18 AM   978         -    119838    1.00    2.00    0.00    0.00    3.00     2  |__revalidator22
01:10:18 AM   978         -    119839    3.00    1.00    0.00    0.00    4.00    10  |__revalidator23
01:10:18 AM   978         -    119840    2.00    1.00    0.00    1.00    3.00     7  |__revalidator24
01:10:18 AM   978         -    119841    2.00    1.00    0.00    0.00    3.00     4  |__revalidator25
01:10:18 AM   978         -    119842    2.00    2.00    0.00    0.00    4.00    13  |__revalidator26
01:10:18 AM   978         -    119843    2.00    1.00    0.00    0.00    3.00     6  |__revalidator27
01:10:19 AM   978    119815         -   19.00   16.00    0.00    0.00   35.00    15  ovs-vswitchd
01:10:19 AM   978         -    119815    0.00    0.00    0.00    0.00    0.00    15  |__ovs-vswitchd
01:10:19 AM   978         -    119817    1.00    0.00    0.00    0.00    1.00     1  |__handler1
01:10:19 AM   978         -    119818    0.00    0.00    0.00    1.00    0.00     2  |__handler2
01:10:19 AM   978         -    119819    0.00    0.00    0.00    0.00    0.00     0  |__handler3
01:10:19 AM   978         -    119820    0.00    0.00    0.00    0.00    0.00     9  |__urcu4
01:10:19 AM   978         -    119821    0.00    0.00    0.00    0.00    0.00     1  |__handler5
01:10:19 AM   978         -    119822    0.00    0.00    0.00    0.00    0.00     0  |__handler6
01:10:19 AM   978         -    119823    0.00    0.00    0.00    0.00    0.00     5  |__handler7
01:10:19 AM   978         -    119824    0.00    0.00    0.00    0.00    0.00     7  |__handler8
01:10:19 AM   978         -    119825    0.00    1.00    0.00    0.00    1.00     2  |__handler9
01:10:19 AM   978         -    119826    0.00    0.00    0.00    0.00    0.00     1  |__handler10
01:10:19 AM   978         -    119827    0.00    0.00    0.00    0.00    0.00    11  |__handler11
01:10:19 AM   978         -    119828    0.00    0.00    0.00    0.00    0.00     1  |__handler12
01:10:19 AM   978         -    119829    0.00    0.00    0.00    0.00    0.00     1  |__handler13
01:10:19 AM   978         -    119830    0.00    0.00    0.00    0.00    0.00    13  |__handler14
01:10:19 AM   978         -    119831    0.00    0.00    0.00    0.00    0.00     1  |__handler15
01:10:19 AM   978         -    119832    0.00    0.00    0.00    0.00    0.00    13  |__handler16
01:10:19 AM   978         -    119833    0.00    0.00    0.00    0.00    0.00     2  |__handler17
01:10:19 AM   978         -    119834    2.00    1.00    0.00    0.00    3.00    11  |__revalidator18
01:10:19 AM   978         -    119835    1.00    2.00    0.00    0.00    3.00     3  |__revalidator19
01:10:19 AM   978         -    119836    2.00    1.00    0.00    0.00    3.00     1  |__revalidator20
01:10:19 AM   978         -    119837    2.00    2.00    0.00    0.00    4.00     7  |__revalidator21
01:10:19 AM   978         -    119838    2.00    1.00    0.00    0.00    3.00     6  |__revalidator22
01:10:19 AM   978         -    119839    1.00    1.00    0.00    0.00    2.00    10  |__revalidator23
01:10:19 AM   978         -    119840    1.00    2.00    0.00    0.00    3.00     9  |__revalidator24
01:10:19 AM   978         -    119841    2.00    2.00    0.00    0.00    4.00     4  |__revalidator25
01:10:19 AM   978         -    119842    1.00    2.00    0.00    0.00    3.00    12  |__revalidator26
01:10:19 AM   978         -    119843    2.00    2.00    0.00    0.00    4.00     0  |__revalidator27
01:10:20 AM   978    119815         -   19.00   15.00    0.00    0.00   34.00    15  ovs-vswitchd
01:10:20 AM   978         -    119815    0.00    0.00    0.00    0.00    0.00    15  |__ovs-vswitchd
01:10:20 AM   978         -    119817    0.00    0.00    0.00    0.00    0.00     2  |__handler1
01:10:20 AM   978         -    119818    0.00    0.00    0.00    0.00    0.00     2  |__handler2
01:10:20 AM   978         -    119819    0.00    0.00    0.00    0.00    0.00     7  |__handler3
01:10:20 AM   978         -    119820    0.00    0.00    0.00    0.00    0.00     9  |__urcu4
01:10:20 AM   978         -    119821    0.00    0.00    0.00    0.00    0.00     1  |__handler5
01:10:20 AM   978         -    119822    0.00    0.00    0.00    0.00    0.00     4  |__handler6
01:10:20 AM   978         -    119823    0.00    0.00    0.00    0.00    0.00    13  |__handler7
01:10:20 AM   978         -    119824    0.00    0.00    0.00    0.00    0.00     7  |__handler8
01:10:20 AM   978         -    119825    0.00    0.00    0.00    0.00    0.00     8  |__handler9
01:10:20 AM   978         -    119826    0.00    0.00    0.00    0.00    0.00     7  |__handler10
01:10:20 AM   978         -    119827    0.00    0.00    0.00    0.00    0.00    11  |__handler11
01:10:20 AM   978         -    119828    0.00    1.00    0.00    0.00    1.00     1  |__handler12
01:10:20 AM   978         -    119829    0.00    0.00    0.00    0.00    0.00    12  |__handler13
01:10:20 AM   978         -    119830    0.00    0.00    0.00    0.00    0.00    13  |__handler14
01:10:20 AM   978         -    119831    0.00    0.00    0.00    0.00    0.00     1  |__handler15
01:10:20 AM   978         -    119832    0.00    0.00    0.00    0.00    0.00    13  |__handler16
01:10:20 AM   978         -    119833    0.00    0.00    0.00    0.00    0.00    15  |__handler17
01:10:20 AM   978         -    119834    1.00    2.00    0.00    0.00    3.00     7  |__revalidator18
01:10:20 AM   978         -    119835    2.00    2.00    0.00    0.00    4.00     3  |__revalidator19
01:10:20 AM   978         -    119836    2.00    1.00    0.00    0.00    3.00     1  |__revalidator20
01:10:20 AM   978         -    119837    2.00    1.00    0.00    0.00    3.00     8  |__revalidator21
01:10:20 AM   978         -    119838    2.00    2.00    0.00    1.00    4.00     2  |__revalidator22
01:10:20 AM   978         -    119839    3.00    1.00    0.00    0.00    4.00    10  |__revalidator23
01:10:20 AM   978         -    119840    2.00    1.00    0.00    0.00    3.00     4  |__revalidator24
01:10:20 AM   978         -    119841    2.00    1.00    0.00    0.00    3.00     5  |__revalidator25
01:10:20 AM   978         -    119842    2.00    1.00    0.00    0.00    3.00    12  |__revalidator26
01:10:20 AM   978         -    119843    1.00    1.00    0.00    0.00    2.00     6  |__revalidator27
01:10:21 AM   978    119815         -   22.00   16.00    0.00    0.00   38.00    15  ovs-vswitchd
01:10:21 AM   978         -    119815    0.00    0.00    0.00    0.00    0.00    15  |__ovs-vswitchd
01:10:21 AM   978         -    119817    0.00    0.00    0.00    0.00    0.00     2  |__handler1
01:10:21 AM   978         -    119818    0.00    0.00    0.00    0.00    0.00     2  |__handler2
01:10:21 AM   978         -    119819    0.00    0.00    0.00    0.00    0.00     3  |__handler3
01:10:21 AM   978         -    119820    0.00    0.00    0.00    0.00    0.00     9  |__urcu4
01:10:21 AM   978         -    119821    0.00    0.00    0.00    0.00    0.00     1  |__handler5
01:10:21 AM   978         -    119822    0.00    0.00    0.00    1.00    0.00     1  |__handler6
01:10:21 AM   978         -    119823    0.00    0.00    0.00    0.00    0.00     2  |__handler7
01:10:21 AM   978         -    119824    0.00    1.00    0.00    0.00    1.00     7  |__handler8
01:10:21 AM   978         -    119825    0.00    0.00    0.00    0.00    0.00     2  |__handler9
01:10:21 AM   978         -    119826    0.00    0.00    0.00    1.00    0.00     7  |__handler10
01:10:21 AM   978         -    119827    0.00    0.00    0.00    0.00    0.00    11  |__handler11
01:10:21 AM   978         -    119828    0.00    0.00    0.00    0.00    0.00     1  |__handler12
01:10:21 AM   978         -    119829    0.00    0.00    0.00    0.00    0.00    12  |__handler13
01:10:21 AM   978         -    119830    0.00    0.00    0.00    0.00    0.00    13  |__handler14
01:10:21 AM   978         -    119831    0.00    0.00    0.00    0.00    0.00     1  |__handler15
01:10:21 AM   978         -    119832    0.00    0.00    0.00    0.00    0.00    14  |__handler16
01:10:21 AM   978         -    119833    2.00    1.00    0.00    1.00    3.00     1  |__handler17
01:10:21 AM   978         -    119834    3.00    2.00    0.00    0.00    5.00     7  |__revalidator18
01:10:21 AM   978         -    119835    2.00    1.00    0.00    0.00    3.00     2  |__revalidator19
01:10:21 AM   978         -    119836    2.00    2.00    0.00    0.00    4.00     1  |__revalidator20
01:10:21 AM   978         -    119837    2.00    2.00    0.00    0.00    4.00     8  |__revalidator21
01:10:21 AM   978         -    119838    1.00    2.00    0.00    0.00    3.00    11  |__revalidator22
01:10:21 AM   978         -    119839    1.00    2.00    0.00    0.00    3.00    12  |__revalidator23
01:10:21 AM   978         -    119840    2.00    1.00    0.00    0.00    3.00     4  |__revalidator24
01:10:21 AM   978         -    119841    2.00    2.00    0.00    0.00    4.00     5  |__revalidator25
01:10:21 AM   978         -    119842    2.00    1.00    0.00    0.00    3.00     3  |__revalidator26
01:10:21 AM   978         -    119843    2.00    2.00    0.00    0.00    4.00     6  |__revalidator27
01:10:22 AM   978    119815         -   20.00   15.00    0.00    0.00   35.00    15  ovs-vswitchd
01:10:22 AM   978         -    119815    0.00    0.00    0.00    0.00    0.00    15  |__ovs-vswitchd
01:10:22 AM   978         -    119817    0.00    0.00    0.00    0.00    0.00     2  |__handler1
01:10:22 AM   978         -    119818    0.00    0.00    0.00    0.00    0.00    13  |__handler2
01:10:22 AM   978         -    119819    0.00    0.00    0.00    1.00    0.00     3  |__handler3
01:10:22 AM   978         -    119820    0.00    0.00    0.00    0.00    0.00     9  |__urcu4
01:10:22 AM   978         -    119821    0.00    1.00    0.00    0.00    1.00     1  |__handler5
01:10:22 AM   978         -    119822    0.00    0.00    0.00    0.00    0.00     1  |__handler6
01:10:22 AM   978         -    119823    0.00    0.00    0.00    0.00    0.00     2  |__handler7
01:10:22 AM   978         -    119824    0.00    0.00    0.00    0.00    0.00     7  |__handler8
01:10:22 AM   978         -    119825    1.00    0.00    0.00    0.00    1.00     2  |__handler9
01:10:22 AM   978         -    119826    0.00    0.00    0.00    0.00    0.00     7  |__handler10
01:10:22 AM   978         -    119827    0.00    0.00    0.00    0.00    0.00    11  |__handler11
01:10:22 AM   978         -    119828    0.00    0.00    0.00    0.00    0.00     1  |__handler12
01:10:22 AM   978         -    119829    1.00    0.00    0.00    0.00    1.00    12  |__handler13
01:10:22 AM   978         -    119830    0.00    0.00    0.00    0.00    0.00    13  |__handler14
01:10:22 AM   978         -    119831    0.00    0.00    0.00    0.00    0.00     1  |__handler15
01:10:22 AM   978         -    119832    0.00    0.00    0.00    0.00    0.00    15  |__handler16
01:10:22 AM   978         -    119833    0.00    0.00    0.00    0.00    0.00    14  |__handler17
